0.000000	2.000000	0.001000
0.005000	1.695803	0.002360
0.010000	0.896660	0.002029
0.015000	0.448262	0.000380
0.020000	0.242034	0.000429
0.025000	0.156761	0.000360
0.030000	0.120846	0.000291
0.035000	0.096439	0.000122
0.040000	0.084261	0.000121
0.045000	0.069775	0.000138
0.050000	0.057748	0.000183
0.055000	0.047156	0.000128
0.060000	0.038475	0.000178
0.065000	0.032986	0.000103
0.070000	0.027525	0.000097
0.075000	0.022027	0.000077
0.080000	0.016899	0.000074
0.085000	0.013248	0.000122
0.090000	0.010663	0.000082
0.095000	0.008731	0.000107
0.100000	0.007386	0.000063
0.105000	0.006271	0.000068
0.110000	0.005068	0.000070
0.115000	0.004218	0.000092
0.120000	0.003404	0.000100
0.125000	0.002909	0.000079
0.130000	0.002710	0.000058
0.135000	0.002596	0.000054
0.140000	0.002530	0.000049
0.145000	0.002376	0.000066
0.150000	0.002247	0.000058
0.155000	0.002134	0.000067
0.160000	0.002110	0.000045
0.165000	0.002061	0.000040
0.170000	0.001961	0.000040
0.175000	0.001757	0.000043
0.180000	0.001649	0.000098
0.185000	0.001554	0.000034
0.190000	0.001410	0.000066
0.195000	0.001353	0.000045
0.200000	0.001168	0.000033
