 17-Oct-2007       (90_inc. - 0.015 *add.dat) /  1.0000                       
90_inc.dat    Conc = .10E+01  Mult = .10E+01  N1 =    1  N2 =  182  SCALE =  1
 Web\add.dat  Conc = .10E+01  Mult = .15E-01  N1 =    1  N2 =  182  SCALE =  1
  0.102600E-01  0.320100E+00  0.855805E-02
  0.113400E-01  0.313400E+00  0.777902E-02
  0.124100E-01  0.314300E+00  0.687670E-02
  0.134900E-01  0.305000E+00  0.658997E-02
  0.145700E-01  0.313800E+00  0.568712E-02
  0.156500E-01  0.313800E+00  0.581214E-02
  0.167300E-01  0.301600E+00  0.558613E-02
  0.178100E-01  0.295900E+00  0.563341E-02
  0.188900E-01  0.291200E+00  0.548241E-02
  0.199700E-01  0.285200E+00  0.512125E-02
  0.210500E-01  0.298600E+00  0.491620E-02
  0.221300E-01  0.292900E+00  0.401613E-02
  0.232100E-01  0.287300E+00  0.420272E-02
  0.242900E-01  0.277800E+00  0.409970E-02
  0.253600E-01  0.278400E+00  0.397542E-02
  0.264400E-01  0.272100E+00  0.427896E-02
  0.275200E-01  0.286300E+00  0.382154E-02
  0.286000E-01  0.271300E+00  0.372879E-02
  0.296800E-01  0.271400E+00  0.351014E-02
  0.307600E-01  0.262700E+00  0.353455E-02
  0.318400E-01  0.262000E+00  0.355810E-02
  0.329200E-01  0.259900E+00  0.321625E-02
  0.339900E-01  0.256800E+00  0.353540E-02
  0.350700E-01  0.253000E+00  0.315228E-02
  0.361500E-01  0.254000E+00  0.306484E-02
  0.372300E-01  0.247900E+00  0.315768E-02
  0.383100E-01  0.241100E+00  0.294389E-02
  0.393900E-01  0.234000E+00  0.297012E-02
  0.404600E-01  0.233800E+00  0.302137E-02
  0.415400E-01  0.224700E+00  0.287433E-02
  0.425900E-01  0.223900E+00  0.204781E-02
  0.426200E-01  0.227700E+00  0.274146E-02
  0.437000E-01  0.220700E+00  0.283705E-02
  0.447700E-01  0.216200E+00  0.303908E-02
  0.458500E-01  0.215800E+00  0.257456E-02
  0.466400E-01  0.209800E+00  0.211199E-02
  0.469300E-01  0.210300E+00  0.281435E-02
  0.480100E-01  0.201500E+00  0.268312E-02
  0.490800E-01  0.202100E+00  0.249530E-02
  0.501600E-01  0.197800E+00  0.241615E-02
  0.506900E-01  0.196900E+00  0.201300E-02
  0.512400E-01  0.193200E+00  0.255218E-02
  0.523100E-01  0.189000E+00  0.242755E-02
  0.533900E-01  0.188800E+00  0.236359E-02
  0.544700E-01  0.182100E+00  0.246200E-02
  0.547400E-01  0.181400E+00  0.176286E-02
  0.555400E-01  0.179900E+00  0.242853E-02
  0.566200E-01  0.173300E+00  0.230205E-02
  0.577000E-01  0.170800E+00  0.232193E-02
  0.587700E-01  0.167200E+00  0.226887E-02
  0.587800E-01  0.165200E+00  0.178954E-02
  0.598500E-01  0.154200E+00  0.220860E-02
  0.609200E-01  0.157500E+00  0.224680E-02
  0.620000E-01  0.155600E+00  0.219955E-02
  0.628300E-01  0.151200E+00  0.163735E-02
  0.630700E-01  0.153600E+00  0.219440E-02
  0.641500E-01  0.144700E+00  0.204380E-02
  0.652300E-01  0.141100E+00  0.206872E-02
  0.663000E-01  0.140100E+00  0.243044E-02
  0.668700E-01  0.137500E+00  0.149420E-02
  0.673800E-01  0.130300E+00  0.244531E-02
  0.684500E-01  0.127700E+00  0.243403E-02
  0.695200E-01  0.124100E+00  0.248821E-02
  0.706000E-01  0.122900E+00  0.288804E-02
  0.709100E-01  0.124400E+00  0.140255E-02
  0.716700E-01  0.121700E+00  0.280414E-02
