0.000          0.5340              0.4394E-02
0.005          0.5167              0.4394E-02
0.010          0.5167              0.4394E-02
0.015          0.5078              0.4394E-02
0.020          0.4916              0.1733E-02
0.025          0.4710              0.1493E-02
0.030          0.4476              0.1352E-02
0.035          0.4218              0.1263E-02
0.040          0.3914              0.1178E-02
0.045          0.3451              0.1072E-02
0.050          0.3167              0.1008E-02
0.055          0.2877              0.9576E-03
0.060          0.2595              0.9130E-03
0.065          0.2330              0.8711E-03
0.070          0.2105              0.8350E-03
0.075          0.1763              0.7847E-03
0.080          0.1544              0.7513E-03
0.085          0.1366              0.7296E-03
0.090          0.1195              0.7077E-03
0.095          0.1044              0.6888E-03
0.100          0.8994E-01          0.6715E-03
0.105          0.7399E-01          0.6465E-03
0.110          0.6159E-01          0.6320E-03
0.115          0.5334E-01          0.6199E-03
0.120          0.4446E-01          0.6086E-03
0.125          0.3962E-01          0.5961E-03
0.130          0.3339E-01          0.5844E-03
0.135          0.2620E-01          0.5712E-03
0.140          0.2174E-01          0.5644E-03
0.145          0.1799E-01          0.5601E-03
0.150          0.1401E-01          0.5563E-03
0.155          0.1143E-01          0.5581E-03
0.160          0.9326E-02          0.5631E-03
0.165          0.6539E-02          0.5813E-03
0.170          0.4784E-02          0.5994E-03
0.175          0.3504E-02          0.6218E-03
0.180          0.2320E-02          0.6489E-03
0.185          0.1394E-02          0.6841E-03
0.190          0.3010E-03          0.7329E-03
0.195          0.3060E-03          0.8416E-03
0.200         -0.1683E-02          0.9667E-03
0.205         -0.1726E-02          0.1189E-02
0.210          0.9300E-04          0.1762E-02
0.215          0.1918E-02          0.2542E-02
0.220          0.5351E-02          0.2675E-02
0.225          0.3031E-02          0.2075E-02
0.230         -0.9150E-03          0.2202E-02
0.235         -0.5700E-03          0.2249E-02
0.240          0.4410E-02          0.2233E-02
0.245          0.1130E-02          0.2356E-02
0.250         -0.2760E-02          0.2278E-02
