 17-Oct-2007       (100_inc - 0.008 *add.dat) /  1.0000                       
100_inc.dat   Conc = .10E+01  Mult = .10E+01  N1 =    1  N2 =  182  SCALE =  1
 Web\add.dat  Conc = .10E+01  Mult = .81E-02  N1 =    1  N2 =  182  SCALE =  1
  0.210000E+00  0.808000E-02  0.585488E-03
  0.213900E+00  0.780000E-02  0.496066E-03
  0.217800E+00  0.738000E-02  0.552043E-03
  0.221700E+00  0.651000E-02  0.529067E-03
  0.225500E+00  0.737000E-02  0.510759E-03
  0.229400E+00  0.508000E-02  0.491583E-03
  0.233300E+00  0.570000E-02  0.561127E-03
  0.237100E+00  0.554000E-02  0.512586E-03
  0.240900E+00  0.492000E-02  0.509564E-03
  0.244800E+00  0.363000E-02  0.561470E-03
  0.248600E+00  0.210000E-02  0.597956E-03
  0.252400E+00  0.322000E-02  0.566397E-03
  0.256200E+00  0.337000E-02  0.554193E-03
  0.260000E+00  0.359000E-02  0.592205E-03
  0.263800E+00  0.300000E-02  0.558341E-03
  0.267600E+00  0.193000E-02  0.601006E-03
  0.271400E+00  0.200000E-02  0.584221E-03
  0.275200E+00  0.256000E-02  0.592464E-03
  0.278900E+00  0.132000E-02  0.597036E-03
  0.282700E+00  0.141000E-02  0.603459E-03
  0.286400E+00  0.116000E-02  0.566677E-03
  0.290200E+00  0.107000E-02  0.589024E-03
  0.293900E+00  0.118000E-02  0.623540E-03
  0.297600E+00  0.161000E-02  0.686388E-03
  0.301300E+00  0.850000E-03  0.610898E-03
  0.305000E+00  0.350000E-03  0.583283E-03
  0.308700E+00  0.550000E-03  0.622754E-03
  0.312400E+00  0.820000E-03  0.572577E-03
  0.316100E+00 -0.590000E-03  0.596658E-03
  0.319800E+00  0.111000E-02  0.540684E-03
  0.323500E+00  0.620000E-03  0.629303E-03
  0.327100E+00  0.210000E-03  0.707334E-03
  0.330800E+00  0.590000E-03  0.573076E-03
  0.334400E+00 -0.280000E-03  0.673132E-03
  0.338000E+00  0.420000E-03  0.580476E-03
  0.341600E+00  0.430000E-03  0.598813E-03
  0.345300E+00  0.760000E-03  0.636687E-03
  0.348900E+00 -0.100000E-03  0.560210E-03
  0.352500E+00 -0.390000E-03  0.630386E-03
  0.356000E+00  0.290000E-03  0.649340E-03
  0.359600E+00 -0.100000E-03  0.622833E-03
  0.363200E+00 -0.120000E-03  0.620158E-03
  0.366700E+00  0.280000E-03  0.620107E-03
  0.370300E+00  0.550000E-03  0.650397E-03
  0.373800E+00 -0.520000E-03  0.647753E-03
  0.377300E+00  0.700000E-04  0.593916E-03
  0.380900E+00 -0.500000E-03  0.680683E-03
  0.384400E+00  0.480000E-03  0.630034E-03
  0.387900E+00 -0.210000E-03  0.654831E-03
  0.391400E+00 -0.560000E-03  0.607916E-03
  0.394800E+00 -0.760000E-03  0.659910E-03
  0.398300E+00 -0.280000E-03  0.660797E-03
  0.401800E+00 -0.108000E-02  0.647511E-03
  0.405200E+00  0.210000E-03  0.659606E-03
  0.408700E+00  0.110000E-03  0.607711E-03
  0.412100E+00 -0.120000E-03  0.696785E-03
  0.415500E+00 -0.830000E-03  0.659345E-03
  0.418900E+00 -0.650000E-03  0.694097E-03
  0.422300E+00  0.530000E-03  0.656552E-03
  0.425700E+00 -0.700000E-03  0.673841E-03
  0.429100E+00  0.220000E-03  0.626168E-03
  0.432500E+00  0.780000E-03  0.675448E-03
  0.435800E+00 -0.112000E-02  0.761501E-03
  0.439200E+00 -0.660000E-03  0.967358E-03
  0.442500E+00 -0.210000E-03  0.883223E-03
  0.445800E+00  0.920000E-03  0.100357E-02
  0.449100E+00 -0.460000E-03  0.102261E-02
  0.452500E+00  0.161000E-02  0.112006E-02
  0.455700E+00  0.630000E-03  0.112025E-02
  0.459000E+00  0.114000E-02  0.145921E-02
  0.462300E+00 -0.160000E-03  0.157944E-02
  0.465600E+00 -0.290000E-03  0.165901E-02
  0.468800E+00 -0.302000E-02  0.105311E-02
  0.472100E+00 -0.200000E-03  0.282916E-02
  0.475300E+00 -0.126000E-02  0.310533E-02
  0.478500E+00 -0.443000E-02  0.446440E-02
----------Z:\ContrastCalc\NCVWeb\100_inc.dat-----------------------------
 10-Oct-2006       (100S.dat - 1.000 *100B.dat) /  1.0000                       
100S.dat      Conc = .10E+01  Mult = .10E+01  N1 =    1  N2 =  182  SCALE =  1  
 ug\100B.dat  Conc = .10E+01  Mult = .10E+01  N1 =    1  N2 =  182  SCALE =  1  
----------Z:\ContrastCalc\NCVWeb\add.dat-----------------------------
# Background correction file                                                    
