 17-Oct-2007       (20_inc. - 0.007 *add.dat) /  1.0000                       
20_inc.dat    Conc = .10E+01  Mult = .10E+01  N1 =    1  N2 =  182  SCALE =  1
 Web\add.dat  Conc = .10E+01  Mult = .70E-02  N1 =    1  N2 =  182  SCALE =  1
  0.102600E-01  0.217700E+00  0.101790E-01
  0.113400E-01  0.204200E+00  0.895735E-02
  0.124100E-01  0.199000E+00  0.842299E-02
  0.134900E-01  0.206300E+00  0.857819E-02
  0.145700E-01  0.209300E+00  0.782697E-02
  0.156500E-01  0.202100E+00  0.772471E-02
  0.167300E-01  0.204200E+00  0.774880E-02
  0.178100E-01  0.199000E+00  0.709507E-02
  0.188900E-01  0.194900E+00  0.675637E-02
  0.199700E-01  0.200200E+00  0.636306E-02
  0.210500E-01  0.191000E+00  0.685566E-02
  0.221300E-01  0.191100E+00  0.541978E-02
  0.232100E-01  0.181700E+00  0.619688E-02
  0.242900E-01  0.176700E+00  0.555030E-02
  0.253600E-01  0.182000E+00  0.589400E-02
  0.264400E-01  0.176800E+00  0.546113E-02
  0.275200E-01  0.179600E+00  0.519405E-02
  0.286000E-01  0.169500E+00  0.555078E-02
  0.296800E-01  0.169700E+00  0.524139E-02
  0.307600E-01  0.171700E+00  0.513038E-02
  0.318400E-01  0.168100E+00  0.479525E-02
  0.329200E-01  0.165400E+00  0.484396E-02
  0.339900E-01  0.154400E+00  0.492217E-02
  0.350700E-01  0.151200E+00  0.471853E-02
  0.361500E-01  0.146900E+00  0.498020E-02
  0.372300E-01  0.146700E+00  0.456754E-02
  0.383100E-01  0.152900E+00  0.431444E-02
  0.393900E-01  0.143600E+00  0.445680E-02
  0.404600E-01  0.138000E+00  0.413562E-02
  0.415400E-01  0.134600E+00  0.421663E-02
  0.425900E-01  0.128400E+00  0.436420E-02
  0.426200E-01  0.128100E+00  0.418341E-02
  0.437000E-01  0.135400E+00  0.403942E-02
  0.447700E-01  0.128900E+00  0.420620E-02
  0.458500E-01  0.120100E+00  0.392431E-02
  0.466400E-01  0.118800E+00  0.329020E-02
  0.469300E-01  0.120000E+00  0.402660E-02
  0.480100E-01  0.113300E+00  0.394913E-02
  0.490800E-01  0.116800E+00  0.384471E-02
  0.501600E-01  0.109900E+00  0.391480E-02
  0.506900E-01  0.108000E+00  0.362023E-02
  0.512400E-01  0.110000E+00  0.384805E-02
  0.523100E-01  0.100100E+00  0.386909E-02
  0.533900E-01  0.101900E+00  0.361411E-02
  0.544700E-01  0.999000E-01  0.364126E-02
  0.547400E-01  0.951000E-01  0.365812E-02
  0.555400E-01  0.940000E-01  0.368652E-02
  0.566200E-01  0.905000E-01  0.350086E-02
  0.577000E-01  0.937000E-01  0.356923E-02
  0.587700E-01  0.839000E-01  0.333354E-02
  0.587800E-01  0.858000E-01  0.385072E-02
  0.598500E-01  0.841000E-01  0.341519E-02
  0.609200E-01  0.849000E-01  0.335173E-02
  0.620000E-01  0.780000E-01  0.344690E-02
  0.628300E-01  0.737000E-01  0.328919E-02
  0.630700E-01  0.685000E-01  0.362397E-02
  0.641500E-01  0.718000E-01  0.347806E-02
  0.652300E-01  0.657000E-01  0.344573E-02
  0.663000E-01  0.615000E-01  0.355387E-02
  0.668700E-01  0.655000E-01  0.316596E-02
  0.673800E-01  0.660000E-01  0.378656E-02
  0.684500E-01  0.610000E-01  0.373045E-02
  0.695200E-01  0.592000E-01  0.389617E-02
  0.706000E-01  0.448000E-01  0.425163E-02
  0.709100E-01  0.523000E-01  0.308086E-02
  0.716700E-01  0.473000E-01  0.447955E-02
