 17-Oct-2007       (80_inc. - 0.006 *add.dat) /  1.0000                       
80_inc.dat    Conc = .10E+01  Mult = .10E+01  N1 =    1  N2 =  182  SCALE =  1
 Web\add.dat  Conc = .10E+01  Mult = .64E-02  N1 =    1  N2 =  182  SCALE =  1
  0.102600E-01  0.180600E+00  0.817805E-02
  0.113400E-01  0.184500E+00  0.727033E-02
  0.124100E-01  0.182500E+00  0.700348E-02
  0.134900E-01  0.177100E+00  0.719068E-02
  0.145700E-01  0.175700E+00  0.625366E-02
  0.156500E-01  0.174500E+00  0.640253E-02
  0.167300E-01  0.178000E+00  0.618012E-02
  0.178100E-01  0.170300E+00  0.560486E-02
  0.188900E-01  0.174200E+00  0.518306E-02
  0.199700E-01  0.169900E+00  0.521962E-02
  0.210500E-01  0.175500E+00  0.566361E-02
  0.221300E-01  0.167500E+00  0.431030E-02
  0.232100E-01  0.163000E+00  0.460075E-02
  0.242900E-01  0.163900E+00  0.448269E-02
  0.253600E-01  0.162700E+00  0.409834E-02
  0.264400E-01  0.164100E+00  0.405931E-02
  0.275200E-01  0.159400E+00  0.405519E-02
  0.286000E-01  0.160000E+00  0.411597E-02
  0.296800E-01  0.158800E+00  0.373642E-02
  0.307600E-01  0.156800E+00  0.352297E-02
  0.318400E-01  0.155300E+00  0.368792E-02
  0.329200E-01  0.150300E+00  0.339241E-02
  0.339900E-01  0.151600E+00  0.327640E-02
  0.350700E-01  0.157600E+00  0.324769E-02
  0.361500E-01  0.148100E+00  0.326311E-02
  0.372300E-01  0.145800E+00  0.315248E-02
  0.383100E-01  0.147600E+00  0.313654E-02
  0.393900E-01  0.143300E+00  0.331919E-02
  0.404600E-01  0.137500E+00  0.297481E-02
  0.415400E-01  0.137600E+00  0.306508E-02
  0.425900E-01  0.136800E+00  0.204312E-02
  0.426200E-01  0.135100E+00  0.298016E-02
  0.437000E-01  0.134300E+00  0.292891E-02
  0.447700E-01  0.135500E+00  0.305945E-02
  0.458500E-01  0.137400E+00  0.264694E-02
  0.466400E-01  0.130900E+00  0.193254E-02
  0.469300E-01  0.129600E+00  0.284384E-02
  0.480100E-01  0.126800E+00  0.280789E-02
  0.490800E-01  0.122500E+00  0.272946E-02
  0.501600E-01  0.121500E+00  0.267511E-02
  0.506900E-01  0.121300E+00  0.206576E-02
  0.512400E-01  0.120100E+00  0.263669E-02
  0.523100E-01  0.121600E+00  0.276698E-02
  0.533900E-01  0.115500E+00  0.270245E-02
  0.544700E-01  0.114300E+00  0.256152E-02
  0.547400E-01  0.111500E+00  0.179989E-02
  0.555400E-01  0.108300E+00  0.257500E-02
  0.566200E-01  0.107000E+00  0.251895E-02
  0.577000E-01  0.106400E+00  0.254928E-02
  0.587700E-01  0.100600E+00  0.240860E-02
  0.587800E-01  0.102900E+00  0.167514E-02
  0.598500E-01  0.104000E+00  0.246517E-02
  0.609200E-01  0.100300E+00  0.228573E-02
  0.620000E-01  0.964000E-01  0.232751E-02
  0.628300E-01  0.938000E-01  0.157311E-02
  0.630700E-01  0.931000E-01  0.244194E-02
  0.641500E-01  0.956000E-01  0.248138E-02
  0.652300E-01  0.942000E-01  0.250702E-02
  0.663000E-01  0.886000E-01  0.269711E-02
  0.668700E-01  0.869000E-01  0.170281E-02
  0.673800E-01  0.873000E-01  0.266445E-02
  0.684500E-01  0.864000E-01  0.272748E-02
  0.695200E-01  0.794000E-01  0.270843E-02
  0.706000E-01  0.858000E-01  0.308684E-02
  0.709100E-01  0.779000E-01  0.164080E-02
  0.716700E-01  0.748000E-01  0.318096E-02
  0.727500E-01  0.776000E-01  0.322136E-02
  0.738200E-01  0.713000E-01  0.342952E-02
  0.749000E-01  0.676000E-01  0.351415E-02
  0.749500E-01  0.734000E-01  0.157242E-02
  0.759700E-01  0.711000E-01  0.336344E-02
  0.770400E-01  0.616000E-01  0.364593E-02
  0.781200E-01  0.636000E-01  0.417912E-02
  0.789800E-01  0.672000E-01  0.152383E-02
  0.830200E-01  0.592000E-01  0.145322E-02
  0.870500E-01  0.530000E-01  0.147705E-02
  0.910700E-01  0.473000E-01  0.146367E-02
  0.951000E-01  0.444000E-01  0.132791E-02
  0.991200E-01  0.402000E-01  0.126301E-02
  0.103100E+00  0.356000E-01  0.143331E-02
  0.107200E+00  0.315000E-01  0.129870E-02
  0.111200E+00  0.287000E-01  0.123393E-02
  0.115200E+00  0.262000E-01  0.119428E-02
  0.119200E+00  0.247000E-01  0.118330E-02
  0.123200E+00  0.229000E-01  0.116894E-02
  0.127200E+00  0.199000E-01  0.113194E-02
  0.131200E+00  0.189000E-01  0.123038E-02
  0.135200E+00  0.162000E-01  0.108598E-02
  0.139100E+00  0.158000E-01  0.114227E-02
  0.143100E+00  0.151000E-01  0.115578E-02
  0.147100E+00  0.154000E-01  0.102528E-02
  0.151100E+00  0.147000E-01  0.113725E-02
  0.155000E+00  0.122000E-01  0.100589E-02
  0.159000E+00  0.125000E-01  0.108374E-02
  0.163000E+00  0.117000E-01  0.101740E-02
  0.166900E+00  0.840000E-02  0.968604E-03
  0.170900E+00  0.910000E-02  0.990587E-03
  0.174800E+00  0.820000E-02  0.105240E-02
  0.178700E+00  0.860000E-02  0.956534E-03
  0.182700E+00  0.690000E-02  0.957730E-03
  0.186600E+00  0.630000E-02  0.955164E-03
  0.190500E+00  0.650000E-02  0.897892E-03
  0.194400E+00  0.570000E-02  0.925375E-03
  0.198300E+00  0.590000E-02  0.974462E-03
  0.202300E+00  0.550000E-02  0.906843E-03
  0.206100E+00  0.430000E-02  0.972162E-03
  0.210000E+00  0.530000E-02  0.981140E-03
  0.213900E+00  0.400000E-02  0.100555E-02
  0.217800E+00  0.490000E-02  0.952004E-03
  0.221700E+00  0.200000E-02  0.903354E-03
  0.225500E+00  0.250000E-02  0.969242E-03
  0.229400E+00  0.210000E-02  0.936001E-03
  0.233300E+00  0.200000E-02  0.902340E-03
  0.237100E+00  0.260000E-02  0.925534E-03
  0.240900E+00  0.130000E-02  0.862365E-03
  0.244800E+00  0.230000E-02  0.849878E-03
  0.248600E+00  0.120000E-02  0.100488E-02
  0.252400E+00  0.220000E-02  0.104684E-02
  0.256200E+00  0.120000E-02  0.959555E-03
  0.260000E+00  0.110000E-02  0.970167E-03
  0.263800E+00  0.600000E-03  0.109505E-02
  0.267600E+00  0.200000E-03  0.102526E-02
  0.271400E+00 -0.180000E-02  0.105826E-02
  0.275200E+00 -0.100000E-03  0.960126E-03
  0.278900E+00 -0.600000E-03  0.102576E-02
  0.282700E+00  0.180000E-02  0.104286E-02
  0.286400E+00 -0.700000E-03  0.106508E-02
  0.290200E+00 -0.500000E-03  0.106716E-02
  0.293900E+00  0.300000E-03  0.105950E-02
  0.297600E+00 -0.800000E-03  0.961954E-03
  0.301300E+00 -0.700000E-03  0.994581E-03
  0.305000E+00 -0.700000E-03  0.103204E-02
  0.308700E+00 -0.700000E-03  0.111936E-02
  0.312400E+00 -0.800000E-03  0.105687E-02
  0.316100E+00 -0.110000E-02  0.113632E-02
  0.319800E+00 -0.100000E-02  0.103140E-02
  0.323500E+00 -0.140000E-02  0.110334E-02
  0.327100E+00  0.100000E-03  0.105146E-02
  0.330800E+00  0.600000E-03  0.107805E-02
  0.334400E+00 -0.120000E-02  0.112084E-02
  0.338000E+00 -0.130000E-02  0.110677E-02
  0.341600E+00 -0.500000E-03  0.114341E-02
  0.345300E+00 -0.120000E-02  0.113117E-02
  0.348900E+00 -0.150000E-02  0.108934E-02
  0.352500E+00 -0.700000E-03  0.103041E-02
  0.356000E+00 -0.150000E-02  0.116915E-02
  0.359600E+00 -0.800000E-03  0.109888E-02
  0.363200E+00  0.400000E-03  0.111571E-02
  0.366700E+00 -0.140000E-02  0.110357E-02
  0.370300E+00 -0.400000E-03  0.112300E-02
  0.373800E+00 -0.110000E-02  0.109537E-02
  0.377300E+00 -0.140000E-02  0.104861E-02
  0.380900E+00 -0.600000E-03  0.116477E-02
  0.384400E+00 -0.120000E-02  0.113904E-02
  0.387900E+00 -0.110000E-02  0.117564E-02
  0.391400E+00  0.500000E-03  0.101202E-02
  0.394800E+00 -0.300000E-03  0.113799E-02
  0.398300E+00 -0.700000E-03  0.101944E-02
  0.401800E+00  0.100000E-03  0.113125E-02
  0.405200E+00 -0.110000E-02  0.116175E-02
  0.408700E+00 -0.220000E-02  0.103938E-02
  0.412100E+00 -0.170000E-02  0.113584E-02
  0.415500E+00 -0.140000E-02  0.116097E-02
  0.418900E+00  0.100000E-02  0.108104E-02
  0.422300E+00 -0.240000E-02  0.109185E-02
  0.425700E+00 -0.200000E-02  0.122235E-02
  0.429100E+00 -0.200000E-03  0.106860E-02
  0.432500E+00 -0.300000E-03  0.134771E-02
  0.435800E+00  0.300000E-03  0.124205E-02
  0.439200E+00 -0.300000E-03  0.143435E-02
  0.442500E+00 -0.500000E-03  0.142536E-02
  0.445800E+00 -0.280000E-02  0.170283E-02
  0.449100E+00 -0.160000E-02  0.176809E-02
  0.452500E+00 -0.400000E-03  0.187817E-02
  0.455700E+00  0.280000E-02  0.183291E-02
  0.459000E+00  0.300000E-02  0.220555E-02
  0.462300E+00 -0.120000E-02  0.295982E-02
  0.465600E+00 -0.350000E-02  0.244243E-02
  0.468800E+00 -0.100000E-03  0.262283E-02
  0.472100E+00 -0.150000E-02  0.432864E-02
  0.475300E+00 -0.900000E-03  0.584031E-02
  0.478500E+00  0.910000E-02  0.474863E-02
----------Z:\ContrastCalc\NCVWeb\80_inc.dat-----------------------------
 10-Oct-2006       (80S.dat - 1.000 *80B.dat) /  1.0000                         
80S.dat       Conc = .10E+01  Mult = .10E+01  N1 =    1  N2 =  182  SCALE =  1  
 Aug\80B.dat  Conc = .10E+01  Mult = .10E+01  N1 =    1  N2 =  182  SCALE =  1  
----------Z:\ContrastCalc\NCVWeb\add.dat-----------------------------
# Background correction file                                                    
