# g(r) from Yarnell et al. Structure Factor and Radial Distribution Function for Liquid Argon at 85 K.
# DOI: 10.1103/PhysRevA.7.2130
# r     g(r)
18.4551  0.9890 
18.5232  0.9902 
18.5913  0.9918 
18.6594  0.9934 
18.7275  0.9948 
18.7956  0.9960 
18.8637  0.9970 
18.9315  0.9981 
18.9999  0.9995 
19.0680  1.0011 
19.1361  1.0027 
19.2042  1.0043 
19.2723  1.0054 
19.3404  1.0062 
19.4085  1.0066 
19.4766  1.0071 
19.5447  1.0076 
19.6128  1.0082 
19.6809  1.0088 
19.7490  1.0091 
19.8171  1.0090 
19.8852  1.0085 
19.9533  1.0077 
20.0214  1.0070 
20.0895  1.0064 
20.1576  1.0059 
20.2257  1.0054 
20.2938  1.0048 
20.3619  1.0038 
20.4300  1.0026 
20.4981  1.0013 
20.5662  1.0001 
20.6343  0.9992 
20.7024  0.9986 
20.7705  0.9980 
20.8386  0.9974 
20.9067  0.9966 
20.9748  0.9957 
21.0429  0.9949 
21.1110  0.9944 
21.1791  0.9942 
21.2472  0.9943 
21.2353  0.9945 
21.3834  0.9946 
21.4515  0.9946 
21.5196  0.9945 
21.5877  0.9946 
21.6558  0.9949 
21.7239  0.9955 
21.7920  0.9963 
21.8601  0.9971 
21.9282  0.9977 
21.9963  0.9982 
22.0644  0.9986 
22.1325  0.9990 
22.2006  0.9996 
22.2687  1.0004 
22.3368  1.0012 
22.4049  1.0020 
22.4730  1.0025 
22.5411  1.0028 
22.6092  1.0029 
22.6773  1.0030 
22.7454  1.0032 
22.8135  1.0035 
22.8816  1.0038 
22.9497  1.0040 
23.0178  1.0039 
23.0859  1.0036 
23.1540  1.0032 
23.2221  1.0028 
23.2902  1.0025 
23.3583  1.0024 
23.4264  1.0022 
23.4954  1.0020 
23.5626  1.0016 
23.6307  1.0010 
23.6988  1.0003 
23.7669  0.9998 
23.8350  0.9995 
23.9031  0.9994 
23.9712  0.9993 
24.0393  0.9991 
24.1074  0.9988 
24.1755  0.9984 
24.2436  0.9980 
24.3117  0.9977 
24.3798  0.9977 
24.4479  0.9978 
24.5160  0.9980 
24.5841  0.9981 
24.6522  0.9981 
24.7203  0.9980 
24.7884  0.9979 
24.8565  0.9980 
24.9246  0.9983 
24.9927  0.9987 
25.0608  0.9991 
25.1289  0.9994 
25.1970  0.9996 
25.2651  0.9996 
25.3332  0.9997 
25.4013  0.9998 
25.4694  1.0002 
25.5375  1.0006 
25.6056  1.0010 
25.6737  1.0011 
25.7418  1.0011 
25.8099  1.0010 
25.8780  1.0009 
25.9461  1.0010 
26.0142  1.0012 
26.0823  1.0014 
26.1504  1.0015 
26.2185  1.0015 
26.2866  1.0013 
26.3547  1.0009 
26.4228  1.0006 
26.4909  1.0005 
26.5590  1.0005 
26.6271  1.0005 
26.6952  1.0005 
26.7633  1.0003 
26.8314  0.9998 
26.8995  0.9994 
26.9676  0.9990 
27.0357  0.9988 
27.1038  0.9989 
27.1719  0.9991 
27.2400  0.9994 
